listing_id,date
3554422,2016-05-05
3554422,2016-05-09
3554422,2016-05-16
3554422,2016-05-22
3554422,2016-05-28
3554422,2016-05-30
3554422,2016-06-03
3554422,2016-06-07
3554422,2016-06-09
3554422,2016-06-11
3554422,2016-06-15
3554422,2016-06-19
3554422,2016-06-24
3554422,2016-06-27
3554422,2016-07-03
6956092,2015-10-12
6956092,2015-11-14
6956092,2015-11-25
6956092,2015-12-01
6956092,2015-12-16
6956092,2015-12-26
6956092,2015-12-29
6956092,2016-01-05
6956092,2016-01-17
6956092,2016-01-23
6956092,2016-02-01
6956092,2016-02-19
6956092,2016-02-28
6956092,2016-03-15
6956092,2016-03-17
6956092,2016-04-06
6956092,2016-04-20
6956092,2016-04-24
6956092,2016-04-28
6956092,2016-05-08
6956092,2016-05-16
6956092,2016-06-07
6956092,2016-06-13
6956092,2016-06-18
6956092,2016-06-27
6956092,2016-06-30
10912067,2016-02-09
10912067,2016-02-15
10912067,2016-02-21
10912067,2016-03-09
10912067,2016-03-15
10912067,2016-03-23
10912067,2016-03-26
10912067,2016-04-02
10912067,2016-04-11
10912067,2016-04-17
10912067,2016-04-21
10912067,2016-05-16
10912067,2016-05-25
10912067,2016-05-31
10912067,2016-06-08
10912067,2016-06-19
10912067,2016-06-22
10912067,2016-06-27
3201078,2014-07-07
3201078,2014-07-29
3201078,2014-08-11
3201078,2014-09-02
3201078,2014-09-29
3201078,2014-11-03
3201078,2014-12-01
3201078,2014-12-29
3201078,2015-01-03
3201078,2015-02-02
3201078,2015-03-02
3201078,2015-04-06
3201078,2015-05-26
3201078,2015-08-03
3201078,2015-08-31
13301488,2016-07-03
9608036,2015-12-27
9608036,2015-12-28
9608036,2016-01-05
8653234,2015-10-12
6570453,2015-06-16
6570453,2015-06-22
6570453,2015-06-28
6570453,2015-07-13
6570453,2015-07-26
6570453,2015-07-30
6570453,2015-08-04
6570453,2015-08-13
6570453,2015-08-19
6570453,2015-08-24
6570453,2015-10-13
6570453,2015-12-01
6570453,2015-12-14
6570453,2015-12-29
6570453,2016-02-24
6570453,2016-05-16
6570453,2016-06-07
12858067,2016-06-22
12858067,2016-06-27
12858067,2016-07-05
10269222,2016-05-31
10031908,2015-12-20
10031908,2016-01-22
10031908,2016-02-10
10031908,2016-02-14
10031908,2016-02-21
10031908,2016-02-28
10031908,2016-03-02
10031908,2016-03-04
10031908,2016-03-05
10031908,2016-03-10
10031908,2016-03-12
10031908,2016-03-20
10031908,2016-03-30
10031908,2016-04-09
10031908,2016-04-11
10031908,2016-04-13
10031908,2016-04-20
10031908,2016-04-23
10031908,2016-05-02
10031908,2016-05-08
10031908,2016-05-17
10031908,2016-05-23
10031908,2016-05-30
10031908,2016-06-07
10031908,2016-06-15
12450030,2016-05-31
12450030,2016-06-16
12450030,2016-06-26
12450030,2016-07-01
5959751,2015-05-15
5959751,2015-05-19
5959751,2015-05-23
5959751,2015-06-01
5959751,2015-06-20
5959751,2015-06-27
5959751,2015-07-11
5959751,2015-07-14
5959751,2015-07-19
5959751,2015-08-01
5959751,2015-08-17
5959751,2015-09-08
5959751,2015-09-22
5959751,2015-10-05
5959751,2015-10-10
5959751,2016-01-02
5959751,2016-01-25
5959751,2016-02-15
5959751,2016-03-19
5959751,2016-03-25
5959751,2016-04-01
5959751,2016-04-16
5959751,2016-05-11
5959751,2016-07-01
4742361,2014-12-12
4742361,2014-12-23
4742361,2014-12-29
4742361,2015-01-01
4742361,2015-01-03
4742361,2015-01-05
4742361,2015-01-07
4742361,2015-01-17
4742361,2015-01-18
4742361,2015-01-19
4742361,2015-01-21
4742361,2015-01-28
4742361,2015-02-02
4742361,2015-02-03
4742361,2015-02-06
4742361,2015-02-08
4742361,2015-02-11
4742361,2015-02-14
4742361,2015-02-16
4742361,2015-02-17
4742361,2015-02-21
4742361,2015-02-24
4742361,2015-03-03
4742361,2015-03-05
4742361,2015-03-10
4742361,2015-03-12
4742361,2015-03-19
4742361,2015-03-21
4742361,2015-03-23
4742361,2015-03-26
4742361,2015-03-27
4742361,2015-03-30
4742361,2015-03-31
4742361,2015-04-02
4742361,2015-04-03
4742361,2015-04-04
4742361,2015-04-07
4742361,2015-04-15
4742361,2015-04-18
4742361,2015-04-19
4742361,2015-04-21
4742361,2015-04-24
4742361,2015-04-27
4742361,2015-04-29
4742361,2015-05-03
4742361,2015-05-04
4742361,2015-05-07
4742361,2015-05-11
4742361,2015-05-14
4742361,2015-05-20
4742361,2015-05-22
4742361,2015-05-26
4742361,2015-05-28
4742361,2015-06-02
4742361,2015-06-05
4742361,2015-06-06
4742361,2015-06-15
4742361,2015-06-16
4742361,2015-06-18
4742361,2015-06-22
4742361,2015-06-23
4742361,2015-06-26
4742361,2015-06-27
4742361,2015-07-02
4742361,2015-07-04
4742361,2015-07-06
4742361,2015-07-08
4742361,2015-07-15
4742361,2015-07-18
4742361,2015-07-21
4742361,2015-07-23
4742361,2015-07-25
4742361,2015-08-01
4742361,2015-08-03
4742361,2015-08-05
4742361,2015-08-07
4742361,2015-08-10
4742361,2015-08-12
4742361,2015-08-15
4742361,2015-08-18
4742361,2015-08-23
4742361,2015-08-25
4742361,2015-09-01
4742361,2015-09-04
4742361,2015-09-08
4742361,2015-09-16
4742361,2015-09-18
4742361,2015-09-20
4742361,2015-09-24
4742361,2015-09-27
4742361,2015-09-28
4742361,2015-10-05
4742361,2015-10-09
4742361,2015-10-11
4742361,2015-10-13
4742361,2015-10-15
4742361,2015-10-28
4742361,2015-10-30
4742361,2015-11-03
4742361,2015-11-08
4742361,2015-11-29
4742361,2015-12-08
4742361,2015-12-21
4742361,2015-12-26
4742361,2015-12-28
4742361,2015-12-30
4742361,2016-01-05
4742361,2016-01-10
4742361,2016-01-13
4742361,2016-01-25
4742361,2016-02-02
4742361,2016-02-07
4742361,2016-02-08
4742361,2016-02-11
4742361,2016-02-16
4742361,2016-02-19
4742361,2016-02-22
4742361,2016-03-03
4742361,2016-03-08
4742361,2016-03-22
4742361,2016-03-27
4742361,2016-04-06
4742361,2016-04-13
4742361,2016-04-20
4742361,2016-04-25
4742361,2016-04-28
4742361,2016-05-07
4742361,2016-05-12
4742361,2016-05-15
4742361,2016-05-18
4742361,2016-05-29
4742361,2016-06-06
4742361,2016-06-10
4742361,2016-06-13
4742361,2016-06-18
10408197,2016-03-17
10408197,2016-05-01
11589873,2016-05-07
11589873,2016-06-20
8759877,2016-01-14
8759877,2016-03-15
1995006,2014-05-21
1995006,2014-05-31
1995006,2014-07-18
1995006,2015-02-15
1995006,2015-02-25
1995006,2015-05-17
1995006,2015-07-23
1995006,2015-08-09
1995006,2016-07-05
11142509,2016-02-18
11142509,2016-02-21
11142509,2016-03-01
11142509,2016-03-08
11142509,2016-03-12
11142509,2016-03-15
11142509,2016-03-22
11142509,2016-03-24
11142509,2016-04-01
11142509,2016-04-10
11142509,2016-04-13
11142509,2016-04-15
11142509,2016-04-22
11142509,2016-04-24
11142509,2016-04-30
11142509,2016-05-05
11142509,2016-05-09
11142509,2016-05-11
11142509,2016-05-17
11142509,2016-05-29
11142509,2016-06-06
11142509,2016-06-13
11142509,2016-06-17
11142509,2016-06-18
11142509,2016-06-22
11142509,2016-06-26
7193775,2015-07-19
12254274,2016-04-26
7452944,2015-07-27
7452944,2015-08-03
7452944,2015-08-31
7452944,2015-09-15
7452944,2015-10-06
7452944,2015-10-13
7452944,2015-11-16
7452944,2015-11-27
7452944,2015-12-01
7452944,2015-12-30
7452944,2016-01-19
7452944,2016-02-01
7452944,2016-03-06
7452944,2016-03-24
7452944,2016-03-29
7452944,2016-04-04
7452944,2016-04-06
7452944,2016-04-28
7452944,2016-05-09
7452944,2016-05-23
7452944,2016-05-30
7452944,2016-06-06
7452944,2016-06-19
7452944,2016-06-29
7452944,2016-07-04
13000051,2016-06-12
13000051,2016-06-16
6121593,2015-07-25
6121593,2015-08-21
1404080,2014-07-27
1404080,2015-07-12
1404080,2016-06-13
2175307,2014-04-29
2175307,2014-05-27
2175307,2014-06-27
2175307,2014-06-30
2175307,2015-10-04
2175307,2016-06-06
3895858,2015-07-14
7664077,2015-08-07
7664077,2015-10-04
12127328,2016-04-07
12127328,2016-04-11
12127328,2016-04-18
12127328,2016-04-26
12127328,2016-05-02
12127328,2016-05-08
12127328,2016-05-12
12127328,2016-05-15
12127328,2016-05-22
12127328,2016-05-29
12127328,2016-06-04
12127328,2016-06-09
12127328,2016-06-12
12127328,2016-06-20
12127328,2016-06-29
12127328,2016-07-03
12378886,2016-05-16
12378886,2016-05-29
12378886,2016-06-06
3513838,2014-07-29
3513838,2014-12-31
3513838,2015-01-03
3513838,2015-08-11
3513838,2015-08-16
3513838,2015-08-20
3513838,2015-09-08
3513838,2015-11-02
3513838,2015-11-23
13406181,2016-07-04
9597404,2016-01-03
9597404,2016-01-17
9597404,2016-02-15
