neighbourhood_group,neighbourhood
,Allied Gardens
,Alta Vista
,Amphitheater And Water Park
,Balboa Park
,Bario Logan
,Bay Ho
,Bay Park
,Bay Terrace
,Bella Lago
,Bird Land
,Bonita Long Canyon
,Carmel Mountain
,Carmel Valley
,Chollas View
,City Heights East
,City Heights West
,Clairemont Mesa
,College Area
,Columbia
,Core
,Cortez Hill
,Darnall
,Del Cerro
,Del Mar Heights
,East Lake
,East Village
,Eastlake Trails
,Eastlake Vistas
,Eastlake Woods
,Egger Highlands
,El Cerritos
,Emerald Hills
,Encanto
,Estlake Greens
,Fenton St
,Gaslamp Quarter
,Gateway
,Golf Course
,Grant Hill
,Grantville
,Horton Plaza
,Jomacha-Lomita
,Kearny Mesa
,Kensington
,La Jolla
,La Jolla Village
,Lake Murray
,Lincoln Park
,Linda Vista
,Little Italy
,Loma Portal
,Lynwood Hills
,Marina
,Memorial
,Midtown
,Midtown District
,Mira Mesa
,Miramar
,Mission Bay
,Mission Valley
,Moreno Mission
,Mount Hope
,Mountain View
,Nestor
,Normal Heights
,North City
,North Clairemont
,North Hills
,Northwest
,Oak Park
,Ocean Beach
,Old Town
,Otay Ranch
,Pacific Beach
,Palm City
,Paradise Hills
,Park West
,Paseo Ranchoero
,Rancho Bernadino
,Rancho Del Rey
,Rancho Penasquitos
,Rolando
,Rolling Hills Ranch
,Roseville
,Sabre Springs
,San Carlos
,San Ysidro
,Scripps Ranch
,Serra Mesa
,Sky Line
,Sorrento Valley
,South Park
,Southcrest
,Southwest
,Sunbow
,Talmadge
,Terra Nova
,Thomy Locust Pl
,Tierrasanta
,Tijuana River Valley
,Torrey Pines
,University City
,Valencia Park
,Village Center
,Webster
,West University Heights
,Wooded Area
,Yosemite Dr
